film_id,title,description,special_features,rating,length,rental_duration,rental_rate,replacement_cost,language_id
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"Deleted Scenes, Behind the Scenes",PG,86,6,0.99,20.99,1
2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,"Trailers, Deleted Scenes",G,48,3,4.99,12.99,1
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,"Trailers, Deleted Scenes",NC-17,50,7,2.99,18.99,1
4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,"Commentaries, Behind the Scenes",G,117,5,2.99,26.99,1
5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,Deleted Scenes,G,130,6,2.99,22.99,1
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,Deleted Scenes,PG,169,3,2.99,17.99,1
7,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,"Trailers, Deleted Scenes",PG-13,62,6,4.99,28.99,1
8,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,Trailers,R,54,6,4.99,15.99,1
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,"Trailers, Deleted Scenes",PG-13,114,3,2.99,21.99,1
10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,"Trailers, Deleted Scenes",NC-17,63,6,4.99,24.99,1
11,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,"Commentaries, Behind the Scenes",G,126,6,0.99,16.99,1
12,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,"Commentaries, Deleted Scenes",PG,136,6,0.99,22.99,1
13,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,"Deleted Scenes, Behind the Scenes",PG,150,4,4.99,21.99,1
14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,"Trailers, Deleted Scenes, Behind the Scenes",NC-17,94,6,0.99,23.99,1
15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,"Trailers, Commentaries, Behind the Scenes",NC-17,46,5,2.99,10.99,1
16,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,"Trailers, Commentaries",NC-17,180,6,2.99,23.99,1
17,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,"Trailers, Behind the Scenes",R,82,3,0.99,14.99,1
18,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,"Trailers, Behind the Scenes",PG-13,57,6,0.99,27.99,1
19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,"Commentaries, Deleted Scenes, Behind the Scenes",PG,113,6,0.99,20.99,1
20,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,"Commentaries, Deleted Scenes, Behind the Scenes",R,79,4,4.99,23.99,1
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,"Commentaries, Behind the Scenes",R,129,3,4.99,17.99,1
22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,"Commentaries, Behind the Scenes",G,85,6,2.99,10.99,1
23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,"Trailers, Deleted Scenes",R,92,3,0.99,9.99,1
24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,"Trailers, Behind the Scenes",R,181,6,2.99,19.99,1
25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,Trailers,G,74,3,2.99,15.99,1
26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,"Commentaries, Deleted Scenes",G,86,3,0.99,15.99,1
27,ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,"Deleted Scenes, Behind the Scenes",NC-17,179,7,0.99,12.99,1
28,ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,"Deleted Scenes, Behind the Scenes",PG-13,91,5,4.99,16.99,1
29,ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,"Trailers, Commentaries, Deleted Scenes",NC-17,168,5,2.99,11.99,1
30,ANYTHING SAVANNAH,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,"Trailers, Deleted Scenes, Behind the Scenes",R,82,4,2.99,27.99,1
31,APACHE DIVINE,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,"Commentaries, Deleted Scenes, Behind the Scenes",NC-17,92,5,4.99,16.99,1
32,APOCALYPSE FLAMINGOS,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,"Trailers, Commentaries",R,119,6,4.99,11.99,1
33,APOLLO TEEN,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,"Trailers, Commentaries, Deleted Scenes, Behind the Scenes",PG-13,153,5,2.99,15.99,1
34,ARABIA DOGMA,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,"Commentaries, Deleted Scenes",NC-17,62,6,0.99,29.99,1
